category,region_nam,total_load,load_1kMg,sum_total,sum_1kMg,percent_load,nutrient,aggregion_nam
Atmospheric deposition,Southwest Desert,0,0,3320337.283167065,3.3203372831670652,0,tp,Western
Atmospheric deposition,Tennessee-Missouri,0,0,83017045.34473562,83.01704534473562,0,tp,Southeast
Atmospheric deposition,Texas,0,0,7753837.743111556,7.753837743111556,0,tp,Southeast
Natural sources,Atlantic Coast,9610688.239061331,9.610688239061332,22913112.787890945,22.913112787890945,41.94405329397392,tp,Southeast
Natural sources,California-Nevada,3574114.1503854697,3.5741141503854696,20035205.530364633,20.03520553036463,17.839168881839875,tp,Western
Natural sources,Central High Plains,1802734.7115483223,1.8027347115483223,8547738.641257012,8.547738641257013,21.090194579033312,tp,High Plains
Natural sources,Central Rockies,2227644.7363101207,2.2276447363101206,2550314.462653735,2.550314462653735,87.34784548851832,tp,Western
Natural sources,Columbia-Snake,6524405.2838504985,6.5244052838504984,11543802.21297748,11.54380221297748,56.518685641683966,tp,Western
Natural sources,Florida,1260498.0026143016,1.2604980026143016,5880469.512021162,5.880469512021161,21.435329271540752,tp,Southeast
Natural sources,Great Lakes,5748315.786914896,5.748315786914897,19057030.87284318,19.05703087284318,30.163753342638554,tp,Northeast through Midwest
Natural sources,Gulf Coast,6416187.868323312,6.416187868323312,36222164.723018974,36.22216472301898,17.713430208785567,tp,Southeast
Natural sources,Midwest,15358304.706341911,15.358304706341912,91752225.60325061,91.75222560325061,16.738890643103698,tp,Northeast through Midwest
Natural sources,Mississippi Embayment,2633674.388182938,2.6336743881829383,20314194.118060827,20.314194118060826,12.96470031189377,tp,Southeast
Natural sources,Northeast,8012685.211573483,8.012685211573483,34216994.40902099,34.21699440902099,23.417267793284072,tp,Northeast through Midwest
Natural sources,Northern High Plains,3845680.79745156,3.84568079745156,7611969.97190128,7.61196997190128,50.521491961311625,tp,High Plains
Natural sources,Pacific Northwest,5266007.986790459,5.266007986790458,18908001.9985521,18.9080019985521,27.85068452602083,tp,Western
Natural sources,Souris-Red-Rainy,2419201.3973863223,2.4192013973863222,16130055.564633183,16.13005556463318,14.998097109415246,tp,Northeast through Midwest
Natural sources,Southern High Plains,2674493.0353390668,2.674493035339067,16342744.507749872,16.342744507749874,16.36501772435345,tp,High Plains
Natural sources,Southwest Desert,722876.4298005166,0.7228764298005166,3320337.283167065,3.3203372831670652,21.77117467750172,tp,Western
Natural sources,Tennessee-Missouri,26705095.31551494,26.705095315514942,83017045.34473562,83.01704534473562,32.16820738996392,tp,Southeast
Natural sources,Texas,1346797.9626194825,1.3467979626194826,7753837.743111556,7.753837743111556,17.36943700964037,tp,Southeast
Other Human Sources,Atlantic Coast,2583242.3421891243,2.5832423421891244,22913112.787890945,22.913112787890945,11.274078585927917,tp,Southeast
Other Human Sources,California-Nevada,364302.90495927905,0.36430290495927903,20035205.530364633,20.03520553036463,1.8183137897295576,tp,Western
Other Human Sources,Central High Plains,318863.07257698657,0.3188630725769866,8547738.641257012,8.547738641257013,3.730379296319889,tp,High Plains
Other Human Sources,Central Rockies,49333.75300464647,0.049333753004646465,2550314.462653735,2.550314462653735,1.9344184306319672,tp,Western
Other Human Sources,Columbia-Snake,135593.66286169426,0.13559366286169428,11543802.21297748,11.54380221297748,1.1746014039400345,tp,Western
Other Human Sources,Florida,1969765.6633570394,1.9697656633570395,5880469.512021162,5.880469512021161,33.49674136274904,tp,Southeast
Other Human Sources,Great Lakes,2328353.897821229,2.328353897821229,19057030.87284318,19.05703087284318,12.217820883835586,tp,Northeast through Midwest
Other Human Sources,Gulf Coast,5842711.48363718,5.8427114836371805,36222164.723018974,36.22216472301898,16.130210682643632,tp,Southeast
Other Human Sources,Midwest,6948167.098875813,6.948167098875813,91752225.60325061,91.75222560325061,7.572750473564156,tp,Northeast through Midwest
Other Human Sources,Mississippi Embayment,1393052.311262737,1.393052311262737,20314194.118060827,20.314194118060826,6.857531749311237,tp,Southeast
Other Human Sources,Northeast,5078871.095494557,5.0788710954945575,34216994.40902099,34.21699440902099,14.843124544438538,tp,Northeast through Midwest
Other Human Sources,Northern High Plains,262564.71548627474,0.26256471548627475,7611969.97190128,7.61196997190128,3.449366149045549,tp,High Plains
Other Human Sources,Pacific Northwest,1814586.5348812072,1.8145865348812071,18908001.9985521,18.9080019985521,9.596923752283088,tp,Western
Other Human Sources,Souris-Red-Rainy,575327.8958522059,0.5753278958522059,16130055.564633183,16.13005556463318,3.566806658209361,tp,Northeast through Midwest
Other Human Sources,Southern High Plains,1228270.1520757226,1.2282701520757227,16342744.507749872,16.342744507749874,7.5156908406251235,tp,High Plains
Other Human Sources,Southwest Desert,1414679.1963494455,1.4146791963494454,3320337.283167065,3.3203372831670652,42.60649071771619,tp,Western
Other Human Sources,Tennessee-Missouri,7924863.768800108,7.924863768800107,83017045.34473562,83.01704534473562,9.5460682030918,tp,Southeast
Other Human Sources,Texas,768588.81826082,0.76858881826082,7753837.743111556,7.753837743111556,9.912366543182152,tp,Southeast
Wastewater,Atlantic Coast,4113973.947907289,4.113973947907289,22913112.787890945,22.913112787890945,17.9546706987862,tp,Southeast
Wastewater,California-Nevada,12766530.95156504,12.76653095156504,20035205.530364633,20.03520553036463,63.72048907717242,tp,Western
Wastewater,Central High Plains,430279.5719861011,0.4302795719861011,8547738.641257012,8.547738641257013,5.0338409963693636,tp,High Plains
Wastewater,Central Rockies,128562.4791091975,0.12856247910919752,2550314.462653735,2.550314462653735,5.0410441924648595,tp,Western
Wastewater,Columbia-Snake,2724726.6059414,2.7247266059414,11543802.21297748,11.54380221297748,23.603372231016547,tp,Western
Wastewater,Florida,734703.7750537,0.7347037750537,5880469.512021162,5.880469512021161,12.493964530413436,tp,Southeast
Wastewater,Great Lakes,1556715.207836675,1.556715207836675,19057030.87284318,19.05703087284318,8.168718507220552,tp,Northeast through Midwest
Wastewater,Gulf Coast,6416012.574426913,6.4160125744269125,36222164.723018974,36.22216472301898,17.712946267812576,tp,Southeast
Wastewater,Midwest,14101533.264759216,14.101533264759217,91752225.60325061,91.75222560325061,15.369145731392075,tp,Northeast through Midwest
Wastewater,Mississippi Embayment,610385.4475870569,0.6103854475870569,20314194.118060827,20.314194118060826,3.0047239090049795,tp,Southeast
Wastewater,Northeast,13365892.395068476,13.365892395068476,34216994.40902099,34.21699440902099,39.0621462402457,tp,Northeast through Midwest
Wastewater,Northern High Plains,231384.52825952935,0.23138452825952935,7611969.97190128,7.61196997190128,3.039745678367873,tp,High Plains
Wastewater,Pacific Northwest,5960337.223430429,5.960337223430429,18908001.9985521,18.9080019985521,31.522829455417067,tp,Western
Wastewater,Souris-Red-Rainy,473747.702008171,0.473747702008171,16130055.564633183,16.13005556463318,2.9370494113294434,tp,Northeast through Midwest
Wastewater,Southern High Plains,1776108.6014089289,1.776108601408929,16342744.507749872,16.342744507749874,10.867872287709586,tp,High Plains
Wastewater,Southwest Desert,1065083.3592902108,1.0650833592902107,3320337.283167065,3.3203372831670652,32.07756527295605,tp,Western
Wastewater,Tennessee-Missouri,10397432.33898224,10.39743233898224,83017045.34473562,83.01704534473562,12.5244548222669,tp,Southeast
Wastewater,Texas,1238479.305324687,1.238479305324687,7753837.743111556,7.753837743111556,15.97246868397448,tp,Southeast
