category,region_nam,aggregion_nam,total_load,percent,sum_total
Fertilizer and manure,Northeast,Northeast through Midwest,7759545.706884476,100,7759545.706884476
Fertilizer and manure,Northern High Plains,High Plains,3272339.930703915,100,3272339.930703915
Fertilizer and manure,Pacific Northwest,Western,5867070.253450005,100,5867070.253450005
Fertilizer and manure,Souris-Red-Rainy,Northeast through Midwest,12661778.569386484,100,12661778.569386484
Fertilizer and manure,Southern High Plains,High Plains,10663872.718926154,100,10663872.718926154
Fertilizer and manure,Southwest Desert,Western,117698.29772689189,100,117698.29772689189
Fertilizer and manure,Tennessee-Missouri,Southeast,37989653.92143833,100,37989653.92143833
Fertilizer and manure,Texas,Southeast,4399971.6569065675,100,4399971.6569065675
Geologic sources,Atlantic Coast,Southeast,9610688.239061331,100,9610688.239061331
Geologic sources,California-Nevada,Western,1563495.8883924987,100,1563495.8883924987
Geologic sources,Central High Plains,High Plains,1802734.7115483223,100,1802734.7115483223
Geologic sources,Central Rockies,Western,1111547.1331203876,100,1111547.1331203876
Geologic sources,Columbia-Snake,Western,2771056.6254137424,100.00000000000001,2771056.6254137424
Geologic sources,Florida,Southeast,1260498.0026143016,100,1260498.0026143016
Geologic sources,Great Lakes,Northeast through Midwest,5748315.786914896,99.99999999999999,5748315.786914896
Geologic sources,Gulf Coast,Southeast,5825431.996534858,100,5825431.996534858
Geologic sources,Midwest,Northeast through Midwest,15358304.706341913,100,15358304.706341913
Geologic sources,Mississippi Embayment,Southeast,2633674.388182938,100,2633674.388182938
Geologic sources,Northeast,Northeast through Midwest,8012685.211573483,100,8012685.211573483
Geologic sources,Northern High Plains,High Plains,3845680.79745156,100,3845680.79745156
Geologic sources,Pacific Northwest,Western,4534285.78270524,100,4534285.78270524
Geologic sources,Souris-Red-Rainy,Northeast through Midwest,2419201.3973863223,100,2419201.3973863223
Geologic sources,Southern High Plains,High Plains,2665964.897950996,100,2665964.897950996
Geologic sources,Southwest Desert,Western,422823.4481111155,100,422823.4481111155
Geologic sources,Tennessee-Missouri,Southeast,26705095.31551494,100,26705095.31551494
Geologic sources,Texas,Southeast,833445.583991007,100,833445.583991007
Imports,California-Nevada,Western,0,NA,0
Imports,Central High Plains,High Plains,0,NA,0
Imports,Central Rockies,Western,14499.479132928001,100,14499.479132928001
Imports,Columbia-Snake,Western,0,NA,0
Imports,Great Lakes,Northeast through Midwest,0,NA,0
Imports,Gulf Coast,Southeast,0,NA,0
Imports,Midwest,Northeast through Midwest,0,NA,0
Imports,Mississippi Embayment,Southeast,0,NA,0
Imports,Northeast,Northeast through Midwest,0,NA,0
Imports,Northern High Plains,High Plains,18976.34521657021,100,18976.34521657021
Imports,Souris-Red-Rainy,Northeast through Midwest,20104.472406271107,100,20104.472406271107
Imports,Southern High Plains,High Plains,0,NA,0
Imports,Southwest Desert,Western,1388622.771988896,99.99999999999999,1388622.771988896
Imports,Tennessee-Missouri,Southeast,0,NA,0
Imports,Texas,Southeast,315529.2129425968,100,315529.2129425968
Mining,Atlantic Coast,Southeast,153087.49560776353,100,153087.49560776353
Mining,Florida,Southeast,1203198.9884031508,100,1203198.9884031508
Mining,Gulf Coast,Southeast,728.6363937453001,100.00000000000001,728.6363937453001
Mining,Northeast,Northeast through Midwest,0,NA,0
Mining,Tennessee-Missouri,Southeast,693.374735622,100,693.374735622
Springs,California-Nevada,Western,0,NA,0
Springs,Columbia-Snake,Western,605838.1882157401,100,605838.1882157401
Springs,Pacific Northwest,Western,202.53976033,99.99999999999999,202.53976033
Stream channel,California-Nevada,Western,2010618.261992971,100,2010618.261992971
Stream channel,Central Rockies,Western,1116097.6031897333,100,1116097.6031897333
Stream channel,Columbia-Snake,Western,3147510.470221016,99.99999999999999,3147510.470221016
Stream channel,Gulf Coast,Southeast,590755.8717884546,100,590755.8717884546
Stream channel,Pacific Northwest,Western,731519.6643248893,100,731519.6643248893
Stream channel,Southern High Plains,High Plains,8528.137388070354,100,8528.137388070354
Stream channel,Southwest Desert,Western,300052.9816894011,100,300052.9816894011
Stream channel,Texas,Southeast,513352.3786284757,100,513352.3786284757
Wastewater,Atlantic Coast,Southeast,4113973.947907289,100,4113973.947907289
Wastewater,California-Nevada,Western,12766530.95156504,99.99999999999999,12766530.95156504
Wastewater,Central High Plains,High Plains,430279.57198610116,100.00000000000001,430279.57198610116
Wastewater,Central Rockies,Western,128562.4791091975,100,128562.4791091975
Wastewater,Columbia-Snake,Western,2724726.6059414,100,2724726.6059414
Wastewater,Florida,Southeast,734703.7750537,99.99999999999999,734703.7750537
Wastewater,Great Lakes,Northeast through Midwest,1556715.207836675,100,1556715.207836675
Wastewater,Gulf Coast,Southeast,6416012.574426913,100.00000000000001,6416012.574426913
Wastewater,Midwest,Northeast through Midwest,14101533.264759215,100,14101533.264759215
Wastewater,Mississippi Embayment,Southeast,610385.4475870569,100,610385.4475870569
Wastewater,Northeast,Northeast through Midwest,13365892.395068476,100,13365892.395068476
Wastewater,Northern High Plains,High Plains,231384.52825952935,100,231384.52825952935
Wastewater,Pacific Northwest,Western,5960337.223430429,100,5960337.223430429
Wastewater,Souris-Red-Rainy,Northeast through Midwest,473747.702008171,100,473747.702008171
Wastewater,Southern High Plains,High Plains,1776108.6014089289,100,1776108.6014089289
Wastewater,Southwest Desert,Western,1065083.3592902108,100,1065083.3592902108
Wastewater,Tennessee-Missouri,Southeast,10397432.338982241,100,10397432.338982241
Wastewater,Texas,Southeast,1238479.305324687,100,1238479.305324687
