category,region_nam,aggregion_nam,total_load,percent,sum_total
Imports,Great Lakes,Northeast through Midwest,0,NA,0
Imports,Gulf Coast,Southeast,0,NA,0
Imports,Midwest,Northeast through Midwest,0,NA,0
Imports,Mississippi Embayment,Southeast,0,NA,0
Imports,Northeast,Northeast through Midwest,0,NA,0
Imports,Northern High Plains,High Plains,10032.479269320898,100,10032.479269320898
Imports,Souris-Red-Rainy,Northeast through Midwest,34750.877345104505,100,34750.877345104505
Imports,Southern High Plains,High Plains,0,NA,0
Imports,Tennessee-Missouri,Southeast,0,NA,0
Other land use,Atlantic Coast,Southeast,128244.00402299355,100,128244.00402299355
Other land use,Central High Plains,High Plains,6552205.373150212,100,6552205.373150212
Other land use,Central Rockies,Western,549268.1168296274,100,549268.1168296274
Other land use,Columbia-Snake,Western,208552.21926424274,99.99999999999999,208552.21926424274
Other land use,Great Lakes,Northeast through Midwest,3796872.6307116197,100,3796872.6307116197
Other land use,Gulf Coast,Southeast,11903927.866539594,99.99999999999999,11903927.866539594
Other land use,Midwest,Northeast through Midwest,10860965.125140334,100,10860965.125140334
Other land use,Mississippi Embayment,Southeast,2454184.8665187242,100,2454184.8665187242
Other land use,Northeast,Northeast through Midwest,3659871.3240956576,100,3659871.3240956576
Other land use,Northern High Plains,High Plains,16297079.506847465,100,16297079.506847465
Other land use,Souris-Red-Rainy,Northeast through Midwest,1282513.865202959,100,1282513.865202959
Other land use,Southern High Plains,High Plains,12046849.362153718,100,12046849.362153718
Other land use,Tennessee-Missouri,Southeast,24678551.131056704,100,24678551.131056704
Shrub lands,Atlantic Coast,Southeast,2621915.1634314987,100,2621915.1634314987
Shrub lands,California-Nevada,Western,12269064.027814379,100,12269064.027814379
Shrub lands,Central Rockies,Western,15203964.794646595,100,15203964.794646595
Shrub lands,Columbia-Snake,Western,655132.0254855679,100,655132.0254855679
Shrub lands,Florida,Southeast,121083.1215636988,100,121083.1215636988
Shrub lands,Gulf Coast,Southeast,3387909.834081332,100,3387909.834081332
Shrub lands,Northeast,Northeast through Midwest,1351.8162996197,100,1351.8162996197
Shrub lands,Southern High Plains,High Plains,501142.97210509074,100,501142.97210509074
Shrub lands,Southwest Desert,Western,7418165.935975762,100,7418165.935975762
Shrub lands,Tennessee-Missouri,Southeast,744392.8092679153,100,744392.8092679153
Shrub lands,Texas,Southeast,2605036.649809498,100,2605036.649809498
Stream channel,Atlantic Coast,Southeast,3014716.916523964,100.00000000000001,3014716.916523964
Stream channel,California-Nevada,Western,22536076.412389636,100,22536076.412389636
Stream channel,Central High Plains,High Plains,2006814.3323299037,100,2006814.3323299037
Stream channel,Central Rockies,Western,31657991.467426617,100,31657991.467426617
Stream channel,Columbia-Snake,Western,7401980.065236024,100,7401980.065236024
Stream channel,Florida,Southeast,204435.10037931622,100,204435.10037931622
Stream channel,Great Lakes,Northeast through Midwest,6373944.488571855,100,6373944.488571855
Stream channel,Gulf Coast,Southeast,21263613.79828325,100,21263613.79828325
Stream channel,Midwest,Northeast through Midwest,10986125.847972946,100,10986125.847972946
Stream channel,Mississippi Embayment,Southeast,2445827.395344534,100,2445827.395344534
Stream channel,Northeast,Northeast through Midwest,17124263.64261602,100,17124263.64261602
Stream channel,Northern High Plains,High Plains,3313949.256199776,99.99999999999999,3313949.256199776
Stream channel,Pacific Northwest,Western,1586722.050512482,100,1586722.050512482
Stream channel,Souris-Red-Rainy,Northeast through Midwest,2574466.5805764,100,2574466.5805764
Stream channel,Southern High Plains,High Plains,3190725.911843802,100,3190725.911843802
Stream channel,Southwest Desert,Western,8440789.534984665,100,8440789.534984665
Stream channel,Tennessee-Missouri,Southeast,12072982.754767176,99.99999999999999,12072982.754767176
Stream channel,Texas,Southeast,14449112.577226387,100.00000000000001,14449112.577226387
